page,statement,row_label,actuals_2018_19_revenue,actuals_2018_19_capital,actuals_2018_19_total,BE_2019_20_revenue,BE_2019_20_capital,BE_2019_20_total,RE_2019_20_revenue,RE_2019_20_capital,RE_2019_20_total,BE_2020_21_revenue,BE_2020_21_capital,BE_2020_21_total
5,Statement 1,1.   Central Expenditure (2+3+4),1542664.19,294481.42,1837145.61,1858501.93,330717.36,2189219.29,1740356.48,341525.69,2081882.17,1926707.51,402276.51,2328984.02
5,Statement 1,2.   Establishment,514756.72,6490.51,521247.23,538759.82,7536.42,546296.24,560214.12,6918.64,567132.76,602276.49,7308.3,609584.79
5,Statement 1,3.   Central Sector Schemes,364691.69,273803.18,638494.87,568660.18,302134.28,870794.46,458524.99,314671.01,773196.0,497024.69,334800.37,831825.06
5,Statement 1,4.   Other Central Expenditure,663215.78,14187.73,677403.51,751081.93,21046.66,772128.59,721617.37,19936.04,741553.41,827406.33,60167.84,887574.17
5,Statement 1,5.   Transfers (6+7+8),464734.9,13232.1,477967.0,589278.41,7851.75,597130.16,609288.19,7381.78,616669.97,703437.65,9808.42,713246.07
5,Statement 1,6.   Centrally Sponsored Schemes,295927.44,101.41,296028.85,331544.07,65.51,331609.58,316760.91,54.65,316815.56,339838.77,55.76,339894.53
5,Statement 1,7.   Finance Commission Transfers,93703.58,,93703.58,120466.22,,120466.22,123709.88,,123709.88,149924.8,,149924.8
5,Statement 1,8.   Other Transfers,75103.88,13130.69,88234.57,137268.12,7786.24,145054.36,168817.4,7327.13,176144.53,213674.08,9752.66,223426.74
5,Statement 1,9.   Total Expenditure through Budget (1+5),2007399.09,307713.52,2315112.61,2447780.34,338569.11,2786349.45,2349644.67,348907.47,2698552.14,2630145.16,412084.93,3042230.09
5,Statement 1,10.   Resources of Public Enterprises,,607955.93,607955.93,,537639.21,537639.21,,710564.95,710564.95,,672663.38,672663.38
5,Statement 1,11.   Total Expenditure through Budget and Resources,2007399.09,915669.45,2923068.54,2447780.34,876208.32,3323988.66,2349644.67,1059472.42,3409117.09,2630145.16,1084748.31,3714893.47
8,Statement 3,"1. Department of Agriculture, Cooperation and Farmers' Welfare",46065.41,10.78,46076.19,130450.51,34.7,130485.21,101870.15,33.85,101904.0,134349.45,50.32,134399.77
8,Statement 3,1. Central Sector Schemes/Projects,31379.26,,31379.26,113800.0,,113800.0,89369.92,,89369.92,116490.0,,116490.0
8,Statement 3,2.   Centrally Sponsored Schemes,14158.81,9.88,14168.69,16025.85,34.7,16060.55,11963.25,33.85,11997.1,17269.45,50.32,17319.77
8,Statement 3,3.   Establishment Expenditure of the Centre,509.14,0.9,510.04,552.34,,552.34,506.51,,506.51,556.07,,556.07
8,Statement 3,4.   Other Central Sector Expenditure,18.2,,18.2,72.32,,72.32,30.47,,30.47,33.93,,33.93
8,Statement 3,2. Department of Agricultural Research and Education,7544.25,,7544.25,8078.76,,8078.76,7846.17,,7846.17,8362.58,,8362.58
8,Statement 3,1. Central Sector Schemes/Projects,2508.72,,2508.72,2699.0,,2699.0,2488.61,,2488.61,2729.0,,2729.0
8,Statement 3,2.   Establishment Expenditure of the Centre,12.89,,12.89,14.8,,14.8,13.18,,13.18,13.85,,13.85
8,Statement 3,3.   Other Central Sector Expenditure,5022.64,,5022.64,5364.96,,5364.96,5344.38,,5344.38,5619.73,,5619.73
8,Statement 3,3. Atomic Energy,8676.77,8741.59,17418.36,8818.95,8106.56,16925.51,9350.9,8074.61,17425.51,8884.44,9344.5,18228.94
8,Statement 3,1. Central Sector Schemes/Projects,82.32,4150.62,4232.94,1065.0,4968.61,6033.61,1134.97,5145.61,6280.58,821.05,5465.32,6286.37
8,Statement 3,2.   Establishment Expenditure of the Centre,6424.26,-119.03,6305.23,5264.11,-17.05,5247.06,5606.31,-176.0,5430.31,5189.42,-57.82,5131.6
8,Statement 3,3.   Other Central Sector Expenditure,2170.19,4710.0,6880.19,2489.84,3155.0,5644.84,2609.62,3105.0,5714.62,2873.97,3937.0,6810.97
8,Statement 3,"4. Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha",1550.0,3.98,1553.98,1939.55,0.21,1939.76,1856.8,0.2,1857.0,2122.08,,2122.08
8,Statement 3,and Homoeopathy (AYUSH) 1. Central Sector Schemes/Projects,98.7,,98.7,142.32,,142.32,89.44,,89.44,136.0,,136.0
8,Statement 3,2.   Centrally Sponsored Schemes,457.27,,457.27,656.0,,656.0,500.6,,500.6,705.0,,705.0
8,Statement 3,3.   Establishment Expenditure of the Centre,92.56,3.98,96.54,109.84,0.2,110.04,104.01,0.2,104.21,110.5,,110.5
8,Statement 3,4.   Other Central Sector Expenditure,901.47,,901.47,1031.39,0.01,1031.4,1162.75,,1162.75,1170.58,,1170.58
8,Statement 3,5. Department of Chemicals and Petrochemicals,339.87,,339.87,263.65,,263.65,370.18,,370.18,218.34,,218.34
8,Statement 3,1. Central Sector Schemes/Projects,221.39,,221.39,134.65,,134.65,234.65,,234.65,57.3,,57.3
8,Statement 3,2.   Establishment Expenditure of the Centre,18.0,,18.0,19.58,,19.58,18.08,,18.08,19.99,,19.99
8,Statement 3,3.   Other Central Sector Expenditure,100.48,,100.48,109.42,,109.42,117.45,,117.45,141.05,,141.05
8,Statement 3,6. Department of Fertilisers,70550.31,,70550.31,80034.95,0.05,80035.0,80034.95,0.05,80035.0,71344.95,0.05,71345.0
8,Statement 3,1. Central Sector Schemes/Projects,70604.8,,70604.8,79996.0,,79996.0,79997.85,,79997.85,71309.0,,71309.0
8,Statement 3,2.   Establishment Expenditure of the Centre,35.23,,35.23,38.94,,38.94,37.09,,37.09,35.94,,35.94
8,Statement 3,3.   Other Central Sector Expenditure,-89.72,,-89.72,0.01,0.05,0.06,0.01,0.05,0.06,0.01,0.05,0.06
8,Statement 3,7. Department of Pharmaceuticals,512.51,10.95,523.46,230.45,5.06,235.51,229.15,333.18,562.33,326.4,7.18,333.58
8,Statement 3,1. Central Sector Schemes/Projects,181.45,,181.45,204.3,,204.3,185.4,,185.4,281.0,,281.0
9,Statement 3,2.   Establishment Expenditure of the Centre,23.83,,23.83,26.15,,26.15,26.15,,26.15,27.4,,27.4
9,Statement 3,3.   Other Central Sector Expenditure,307.23,10.95,318.18,,5.06,5.06,17.6,333.18,350.78,18.0,7.18,25.18
9,Statement 3,8. Ministry of Civil Aviation,5623.13,3975.87,9599.0,4474.99,25.01,4500.0,3674.99,25.01,3700.0,3771.74,25.97,3797.71
9,Statement 3,1. Central Sector Schemes/Projects,5254.47,3975.0,9229.47,4164.1,0.01,4164.11,3323.87,0.01,3323.88,3480.41,0.01,3480.42
9,Statement 3,2.   Establishment Expenditure of the Centre,260.35,0.87,261.22,282.69,24.99,307.68,319.31,24.99,344.3,274.51,25.95,300.46
9,Statement 3,3.   Other Central Sector Expenditure,108.31,,108.31,28.2,0.01,28.21,31.81,0.01,31.82,16.82,0.01,16.83
9,Statement 3,9. Ministry of Coal,708.34,,708.34,1159.05,,1159.05,933.6,,933.6,882.61,,882.61
9,Statement 3,1. Central Sector Schemes/Projects,654.32,,654.32,1097.0,,1097.0,871.55,,871.55,819.98,,819.98
9,Statement 3,2.   Establishment Expenditure of the Centre,33.0,,33.0,38.9,,38.9,39.15,,39.15,40.28,,40.28
9,Statement 3,3.   Other Central Sector Expenditure,21.02,,21.02,23.15,,23.15,22.9,,22.9,22.35,,22.35
9,Statement 3,10. Department of Commerce,5651.12,494.97,6146.09,5709.32,510.0,6219.32,6344.32,875.0,7219.32,5532.32,687.0,6219.32
9,Statement 3,1. Central Sector Schemes/Projects,4855.35,500.0,5355.35,4833.0,500.0,5333.0,5384.51,800.0,6184.51,4656.0,650.0,5306.0
9,Statement 3,2.   Establishment Expenditure of the Centre,775.98,,775.98,814.0,10.0,824.0,849.5,75.0,924.5,784.0,37.0,821.0
9,Statement 3,3.   Other Central Sector Expenditure,19.79,-5.03,14.76,62.32,,62.32,110.31,,110.31,92.32,,92.32
9,Statement 3,11. Department for Promotion of Industry and Internal Trade,5300.09,717.55,6017.64,5001.79,672.72,5674.51,5381.79,1108.21,6490.0,5136.55,1469.0,6605.55
9,Statement 3,1. Central Sector Schemes/Projects,4666.23,699.99,5366.22,4401.18,600.1,5001.28,4748.78,1085.71,5834.49,4325.01,1402.38,5727.39
9,Statement 3,2.   Establishment Expenditure of the Centre,367.24,17.56,384.8,461.94,72.62,534.56,436.34,22.5,458.84,488.37,66.62,554.99
9,Statement 3,3.   Other Central Sector Expenditure,266.62,,266.62,138.67,,138.67,196.67,,196.67,323.17,,323.17
9,Statement 3,12. Department of Posts,13977.39,811.27,14788.66,10351.36,947.74,11299.1,11655.23,743.26,12398.49,14394.17,1131.21,15525.38
9,Statement 3,1. Central Sector Schemes/Projects,206.53,808.55,1015.08,272.89,932.74,1205.63,154.81,728.26,883.07,476.02,1116.21,1592.23
9,Statement 3,2.   Establishment Expenditure of the Centre,13770.86,2.72,13773.58,10078.47,15.0,10093.47,11500.42,15.0,11515.42,13918.15,15.0,13933.15
9,Statement 3,13. Department of Telecommunications,18492.25,2114.23,20606.48,22343.64,4994.72,27338.36,18435.1,4915.39,23350.49,40756.63,25675.06,66431.69
9,Statement 3,1. Central Sector Schemes/Projects,4854.36,2059.23,6913.59,8510.77,4889.72,13400.49,3073.81,4810.39,7884.2,8119.44,5160.06,13279.5
9,Statement 3,2.   Establishment Expenditure of the Centre,12971.33,,12971.33,12847.57,,12847.57,13880.83,,13880.83,14751.77,,14751.77
9,Statement 3,3.   Other Central Sector Expenditure,666.56,55.0,721.56,985.3,105.0,1090.3,1480.46,105.0,1585.46,17885.42,20515.0,38400.42
9,Statement 3,14. Department of Consumer Affairs,1721.35,48.46,1769.81,2220.82,51.5,2272.32,2032.14,17.86,2050.0,2244.6,55.4,2300.0
9,Statement 3,1. Central Sector Schemes/Projects,1630.63,48.46,1679.09,2124.5,51.5,2176.0,1932.14,17.86,1950.0,2139.6,55.4,2195.0
9,Statement 3,2.   Establishment Expenditure of the Centre,90.72,,90.72,96.32,,96.32,100.0,,100.0,105.0,,105.0
9,Statement 3,15. Department of Food and Public Distribution,106224.75,853.23,107077.98,190914.27,1326.12,192240.39,113989.47,1250.92,115240.39,121038.41,1197.02,122235.43
9,Statement 3,1. Central Sector Schemes/Projects,106007.31,347.95,106355.26,190754.84,319.0,191073.84,113864.76,244.0,114108.76,120887.92,190.0,121077.92
10,Statement 3,2.   Centrally Sponsored Schemes,,,,42.65,,42.65,1.0,,1.0,20.0,,20.0
10,Statement 3,3.   Establishment Expenditure of the Centre,98.83,5.28,104.11,107.78,7.12,114.9,109.56,6.92,116.48,114.13,7.02,121.15
10,Statement 3,4.   Other Central Sector Expenditure,118.61,500.0,618.61,9.0,1000.0,1009.0,14.15,1000.0,1014.15,16.36,1000.0,1016.36
10,Statement 3,16. Ministry of Corporate Affairs,555.53,35.97,591.5,545.34,41.0,586.34,563.5,12.5,576.0,675.62,52.0,727.62
10,Statement 3,1. Central Sector Schemes/Projects,4.52,0.97,5.49,9.95,1.0,10.95,12.75,0.2,12.95,10.5,1.0,11.5
10,Statement 3,2.   Establishment Expenditure of the Centre,360.33,,360.33,429.85,,429.85,470.01,,470.01,554.52,,554.52
10,Statement 3,3.   Other Central Sector Expenditure,190.68,35.0,225.68,105.54,40.0,145.54,80.74,12.3,93.04,110.6,51.0,161.6
10,Statement 3,17. Ministry of Culture,2497.38,94.82,2592.2,2953.21,89.14,3042.35,2476.87,70.13,2547.0,3057.57,92.29,3149.86
10,Statement 3,1. Central Sector Schemes/Projects,440.45,42.84,483.29,746.23,32.0,778.23,380.47,46.45,426.92,576.32,2.0,578.32
10,Statement 3,2.   Establishment Expenditure of the Centre,1175.06,51.98,1227.04,1262.47,57.14,1319.61,1235.85,23.68,1259.53,1469.43,90.29,1559.72
10,Statement 3,3.   Other Central Sector Expenditure,881.87,,881.87,944.51,,944.51,860.55,,860.55,1011.82,,1011.82
10,Statement 3,18. Ministry of Defence (Civil),6309.89,4570.61,10880.5,8780.66,4854.49,13635.15,9736.54,4977.05,14713.59,9679.0,4821.0,14500.0
10,Statement 3,1. Central Sector Schemes/Projects,667.88,2120.53,2788.41,740.0,2321.0,3061.0,785.0,2356.0,3141.0,750.0,2300.0,3050.0
10,Statement 3,2.   Establishment Expenditure of the Centre,8812.3,2260.49,11072.79,8130.82,2500.0,10630.82,9045.04,2600.0,11645.04,8978.83,2500.0,11478.83
10,Statement 3,3.   Other Central Sector Expenditure,-3170.29,189.59,-2980.7,-90.16,33.49,-56.67,-93.5,21.05,-72.45,-49.83,21.0,-28.83
10,Statement 3,19. Defence Services (Revenue),195571.57,,195571.57,201901.76,,201901.76,205901.76,,205901.76,209319.0,,209319.0
10,Statement 3,1. Establishment Expenditure of the Centre,195571.57,,195571.57,201901.76,,201901.76,205901.76,,205901.76,209319.0,,209319.0
10,Statement 3,20. Capital Outlay on Defence Services,,95230.59,95230.59,,103394.31,103394.31,,110394.31,110394.31,,113734.0,113734.0
10,Statement 3,1. Central Sector Schemes/Projects,,95230.59,95230.59,,103394.31,103394.31,,110394.31,110394.31,,113734.0,113734.0
10,Statement 3,21. Defence Pensions,101774.61,,101774.61,112079.57,,112079.57,117810.44,,117810.44,133825.0,,133825.0
10,Statement 3,1. Establishment Expenditure of the Centre,101774.61,,101774.61,112079.57,,112079.57,117810.44,,117810.44,133825.0,,133825.0
10,Statement 3,22. Ministry of Development of North Eastern Region,1867.11,93.51,1960.62,2292.8,707.2,3000.0,2026.3,643.7,2670.0,2330.14,718.59,3048.73
