page,pdf_page,statement,ministry_department,expenditure_category,category_number,actuals_2020_2021_revenue,actuals_2020_2021_capital,actuals_2020_2021_total,BE_2021_2022_revenue,BE_2021_2022_capital,BE_2021_2022_total,RE_2021_2022_revenue,RE_2021_2022_capital,RE_2021_2022_total,BE_2022_2023_revenue,BE_2022_2023_capital,BE_2022_2023_total
6,10,Statement 3,Department of Agriculture and Farmers Welfare,Total Ministry/Department,,108251.03,21.8,108272.83,122961.57,56.0,123017.57,118257.69,36.55,118294.24,123960.75,39.25,124000.0
6,10,Statement 3,Department of Agriculture and Farmers Welfare,Central Sector Schemes/Projects,1,95779.92,,95779.92,105018.81,,105018.81,106428.8,,106428.8,105710.0,,105710.0
6,10,Statement 3,Department of Agriculture and Farmers Welfare,Centrally Sponsored Schemes,2,11938.72,21.8,11960.52,17352.19,56.0,17408.19,10852.65,36.55,10889.2,17616.0,,17616.0
6,10,Statement 3,Department of Agriculture and Farmers Welfare,Establishment Expenditure of the Centre,3,503.46,,503.46,557.47,,557.47,927.7,,927.7,594.25,39.25,633.5
6,10,Statement 3,Department of Agriculture and Farmers Welfare,Other Central Sector Expenditure,4,28.93,,28.93,33.1,,33.1,48.54,,48.54,40.5,,40.5
6,10,Statement 3,Department of Agricultural Research and Education,Total Ministry/Department,,7553.77,,7553.77,8513.62,,8513.62,8513.62,,8513.62,8513.62,,8513.62
6,10,Statement 3,Department of Agricultural Research and Education,Central Sector Schemes/Projects,1,2246.99,,2246.99,2686.0,,2686.0,2347.0,,2347.0,1995.83,,1995.83
6,10,Statement 3,Department of Agricultural Research and Education,Establishment Expenditure of the Centre,2,12.58,,12.58,14.05,,14.05,14.09,,14.09,39.68,,39.68
6,10,Statement 3,Department of Agricultural Research and Education,Other Central Sector Expenditure,3,5294.2,,5294.2,5813.57,,5813.57,6152.53,,6152.53,6478.11,,6478.11
6,10,Statement 3,Atomic Energy,Total Ministry/Department,,8698.84,6497.4,15196.24,8389.12,9875.77,18264.89,8121.16,14586.05,22707.21,8440.34,14283.24,22723.58
6,10,Statement 3,Atomic Energy,Central Sector Schemes/Projects,1,161.43,3641.52,3802.95,452.47,6224.37,6676.84,366.18,5518.01,5884.19,616.6,6819.22,7435.82
6,10,Statement 3,Atomic Energy,Establishment Expenditure of the Centre,2,5896.85,135.88,6032.73,4890.35,-28.6,4861.75,5127.57,169.29,5296.86,4810.64,-109.1,4701.54
6,10,Statement 3,Atomic Energy,Other Central Sector Expenditure,3,2640.56,2720.0,5360.56,3046.3,3680.0,6726.3,2627.41,8898.75,11526.16,3013.1,7573.12,10586.22
6,10,Statement 3,Ministry of Ayush,Total Ministry/Department,,2126.46,,2126.46,2970.3,,2970.3,2664.42,,2664.42,3050.0,,3050.0
6,10,Statement 3,Ministry of Ayush,Central Sector Schemes/Projects,1,117.96,,117.96,298.67,,298.67,235.14,,235.14,306.98,,306.98
6,10,Statement 3,Ministry of Ayush,Centrally Sponsored Schemes,2,397.72,,397.72,553.8,,553.8,500.0,,500.0,800.0,,800.0
6,10,Statement 3,Ministry of Ayush,Establishment Expenditure of the Centre,3,92.62,,92.62,118.75,,118.75,85.26,,85.26,72.92,,72.92
6,10,Statement 3,Ministry of Ayush,Other Central Sector Expenditure,4,1518.16,,1518.16,1999.08,,1999.08,1844.02,,1844.02,1870.1,,1870.1
6,10,Statement 3,Department of Chemicals and Petrochemicals,Total Ministry/Department,,219.13,73.7,292.83,229.64,3.5,233.14,206.83,2.17,209.0,207.67,1.33,209.0
6,10,Statement 3,Department of Chemicals and Petrochemicals,Central Sector Schemes/Projects,1,25.65,,25.65,56.73,,56.73,54.73,,54.73,51.5,,51.5
6,10,Statement 3,Department of Chemicals and Petrochemicals,Establishment Expenditure of the Centre,2,17.94,,17.94,20.97,,20.97,19.73,,19.73,21.35,,21.35
6,10,Statement 3,Department of Chemicals and Petrochemicals,Other Central Sector Expenditure,3,175.54,,175.54,151.94,,151.94,132.37,,132.37,134.82,,134.82
6,10,Statement 3,Department of Chemicals and Petrochemicals,Other Grants/Loans/Transfers,4,,73.7,73.7,,3.5,3.5,,2.17,2.17,,1.33,1.33
6,10,Statement 3,Department of Fertilisers,Total Ministry/Department,,127947.91,813.24,128761.15,79566.77,444.62,80011.39,140258.7,444.58,140703.28,105262.18,0.05,105262.23
6,10,Statement 3,Department of Fertilisers,Central Sector Schemes/Projects,1,127921.74,,127921.74,79529.68,,79529.68,140122.32,,140122.32,105222.32,,105222.32
