page,pdf_page,statement,demand_no,ministry_department,category_number,expenditure_category,actuals_2021_2022_revenue,actuals_2021_2022_capital,actuals_2021_2022_total,BE_2022_2023_revenue,BE_2022_2023_capital,BE_2022_2023_total,RE_2022_2023_revenue,RE_2022_2023_capital,RE_2022_2023_total,BE_2023_2024_revenue,BE_2023_2024_capital,BE_2023_2024_total
4,10,Statement 3,1,Department of Agriculture and Farmers Welfare,,TOTAL / Ministry,114454.67,12.89,114467.56,123960.75,39.25,124000.00,110203.20,51.33,110254.53,115489.37,42.42,115531.79
4,10,Statement 3,1,Department of Agriculture and Farmers Welfare,1,Central Sector Schemes/Projects,105368.88,,105368.88,105710.00,,105710.00,97296.97,,97296.97,98980.03,,98980.03
4,10,Statement 3,1,Department of Agriculture and Farmers Welfare,2,Centrally Sponsored Schemes,8157.20,12.89,8170.09,17616.00,,17616.00,12000.00,,12000.00,14675.82,,14675.82
4,10,Statement 3,1,Department of Agriculture and Farmers Welfare,3,Establishment Expenditure of the Centre,879.90,,879.90,594.25,39.25,633.50,875.66,51.33,926.99,1362.95,42.42,1405.37
4,10,Statement 3,1,Department of Agriculture and Farmers Welfare,4,Other Central Sector Expenditure,48.69,,48.69,40.50,,40.50,30.57,,30.57,470.57,,470.57
4,10,Statement 3,1,Department of Agriculture and Farmers Welfare,,TOTAL,,,114467.56,,,124000.00,,,110254.53,,,115531.79
4,10,Statement 3,2,Department of Agricultural Research and Education,,TOTAL / Ministry,8368.01,,8368.01,8513.62,,8513.62,8658.89,,8658.89,9493.59,10.41,9504.00
4,10,Statement 3,2,Department of Agricultural Research and Education,1,Central Sector Schemes/Projects,2327.71,,2327.71,1995.83,,1995.83,1995.61,,1995.61,2423.41,,2423.41
4,10,Statement 3,2,Department of Agricultural Research and Education,2,Establishment Expenditure of the Centre,12.62,,12.62,39.68,,39.68,44.80,,44.80,33.30,10.41,43.71
4,10,Statement 3,2,Department of Agricultural Research and Education,3,Other Central Sector Expenditure,6027.68,,6027.68,6478.11,,6478.11,6618.48,,6618.48,7036.88,,7036.88
4,10,Statement 3,2,Department of Agricultural Research and Education,,TOTAL,,,8368.01,,,8513.62,,,8658.89,,,9504.00
4,10,Statement 3,3,Atomic Energy,,TOTAL / Ministry,7294.93,15318.33,22613.26,8440.34,14283.24,22723.58,12824.97,13140.70,25965.67,9096.99,15981.50,25078.49
4,10,Statement 3,3,Atomic Energy,1,Central Sector Schemes/Projects,-1597.60,6248.57,4650.97,616.60,6819.22,7435.82,1660.44,6511.33,8171.77,237.52,6725.67,6963.19
4,10,Statement 3,3,Atomic Energy,2,Establishment Expenditure of the Centre,6534.53,192.76,6727.29,4810.64,-109.10,4701.54,7931.18,-121.63,7809.55,5664.07,-354.17,5309.90
4,10,Statement 3,3,Atomic Energy,3,Other Central Sector Expenditure,2358.00,8877.00,11235.00,3013.10,7573.12,10586.22,3233.35,6751.00,9984.35,3195.40,9610.00,12805.40
4,10,Statement 3,3,Atomic Energy,,TOTAL,,,22613.26,,,22723.58,,,25965.67,,,25078.49
4,10,Statement 3,4,Ministry of Ayush,,TOTAL / Ministry,2359.08,,2359.08,3050.00,,3050.00,2845.75,,2845.75,3641.56,5.94,3647.50
4,10,Statement 3,4,Ministry of Ayush,1,Central Sector Schemes/Projects,192.14,,192.14,306.98,,306.98,250.16,,250.16,185.44,,185.44
4,10,Statement 3,4,Ministry of Ayush,2,Centrally Sponsored Schemes,458.87,,458.87,800.00,,800.00,650.00,,650.00,1200.00,,1200.00
4,10,Statement 3,4,Ministry of Ayush,3,Establishment Expenditure of the Centre,73.56,,73.56,72.92,,72.92,70.54,,70.54,73.82,5.94,79.76
