page,statement,demand_no,ministry_department,expenditure_category,category_number,row_type,actuals_2022_23_revenue,actuals_2022_23_capital,actuals_2022_23_total,BE_2023_24_revenue,BE_2023_24_capital,BE_2023_24_total,RE_2023_24_revenue,RE_2023_24_capital,RE_2023_24_total,BE_2024_25_revenue,BE_2024_25_capital,BE_2024_25_total
10,Statement 3,1,Department of Agriculture and Farmers Welfare,,,ministry_total,99868.91,8.10,99877.01,115489.37,42.42,115531.79,116701.24,87.72,116788.96,122433.13,95.64,122528.77
10,Statement 3,1,Department of Agriculture and Farmers Welfare,Central Sector Schemes/Projects,1.0,category,91004.75,,91004.75,98980.03,,98980.03,101924.30,,101924.30,105856.67,,105856.67
10,Statement 3,1,Department of Agriculture and Farmers Welfare,Centrally Sponsored Schemes,2.0,category,8267.85,,8267.85,14675.82,,14675.82,13128.82,,13128.82,15365.64,,15365.64
10,Statement 3,1,Department of Agriculture and Farmers Welfare,Establishment Expenditure of the Centre,3.0,category,565.85,8.10,573.95,1362.95,42.42,1405.37,1182.52,87.72,1270.24,704.33,95.64,799.97
10,Statement 3,1,Department of Agriculture and Farmers Welfare,Other Central Sector Expenditure,4.0,category,30.46,,30.46,470.57,,470.57,465.60,,465.60,506.49,,506.49
10,Statement 3,2,Department of Agricultural Research and Education,,,ministry_total,8399.72,,8399.72,9493.59,10.41,9504.00,9866.64,9.96,9876.60,9934.59,6.50,9941.09
10,Statement 3,2,Department of Agricultural Research and Education,Central Sector Schemes/Projects,1.0,category,1993.35,,1993.35,2423.41,,2423.41,2574.36,,2574.36,2780.39,,2780.39
10,Statement 3,2,Department of Agricultural Research and Education,Establishment Expenditure of the Centre,2.0,category,40.52,,40.52,33.30,10.41,43.71,43.92,9.96,53.88,51.64,6.50,58.14
10,Statement 3,2,Department of Agricultural Research and Education,Other Central Sector Expenditure,3.0,category,6365.85,,6365.85,7036.88,,7036.88,7248.36,,7248.36,7102.56,,7102.56
10,Statement 3,3,Atomic Energy,,,ministry_total,10809.23,13832.38,24641.61,9096.99,15981.50,25078.49,11796.03,15003.75,26799.78,11108.19,13860.79,24968.98
10,Statement 3,3,Atomic Energy,Central Sector Schemes/Projects,1.0,category,452.00,7223.88,7675.88,237.52,6725.67,6963.19,1494.07,6425.34,7919.41,2129.28,5400.13,7529.41
10,Statement 3,3,Atomic Energy,Establishment Expenditure of the Centre,2.0,category,7564.51,-142.50,7422.01,5664.07,-354.17,5309.90,7120.85,24.59,7145.44,5953.93,-321.26,5632.67
10,Statement 3,3,Atomic Energy,Other Central Sector Expenditure,3.0,category,2792.72,6751.00,9543.72,3195.40,9610.00,12805.40,3181.11,8553.82,11734.93,3024.98,8781.92,11806.90
10,Statement 3,4,Ministry of Ayush,,,ministry_total,2448.23,,2448.23,3641.56,5.94,3647.50,2994.12,5.88,3000.00,3703.74,8.75,3712.49
10,Statement 3,4,Ministry of Ayush,Central Sector Schemes/Projects,1.0,category,283.59,,283.59,185.44,,185.44,135.00,,135.00,377.20,,377.20
10,Statement 3,4,Ministry of Ayush,Centrally Sponsored Schemes,2.0,category,549.15,,549.15,1200.00,,1200.00,815.00,,815.00,1200.00,,1200.00
10,Statement 3,4,Ministry of Ayush,Establishment Expenditure of the Centre,3.0,category,65.25,,65.25,73.82,5.94,79.76,85.50,5.88,91.38,81.66,8.75,90.41
10,Statement 3,4,Ministry of Ayush,Other Central Sector Expenditure,4.0,category,1550.24,,1550.24,2182.30,,2182.30,1958.62,,1958.62,2044.88,,2044.88
10,Statement 3,5,Department of Chemicals and Petrochemicals,,,ministry_total,143.94,,143.94,172.55,0.90,173.45,84.26,488.37,572.63,136.82,122.29,259.11
10,Statement 3,5,Department of Chemicals and Petrochemicals,Central Sector Schemes/Projects,1.0,category,27.21,,27.21,22.00,,22.00,18.00,,18.00,25.00,,25.00
10,Statement 3,5,Department of Chemicals and Petrochemicals,Establishment Expenditure of the Centre,2.0,category,20.85,,20.85,21.69,0.86,22.55,26.55,1.63,28.18,29.47,2.21,31.68
10,Statement 3,5,Department of Chemicals and Petrochemicals,Other Central Sector Expenditure,3.0,category,95.88,,95.88,128.86,0.04,128.90,39.71,,39.71,82.35,120.08,202.43
10,Statement 3,5,Department of Chemicals and Petrochemicals,Other Grants/Loans/Transfers,4.0,category,,,,,,,,486.74,486.74,,,
11,Statement 3,6,Department of Fertilisers,,,ministry_total,251369.18,,251369.18,175145.79,2.69,175148.48,188944.60,2.69,188947.29,164147.20,3.61,164150.81
11,Statement 3,6,Department of Fertilisers,Central Sector Schemes/Projects,1.0,category,251340.48,,251340.48,175103.17,0.20,175103.37,188901.30,0.20,188901.50,164102.30,0.20,164102.50
11,Statement 3,6,Department of Fertilisers,Establishment Expenditure of the Centre,2.0,category,37.42,,37.42,42.51,2.44,44.95,43.29,2.44,45.73,44.88,3.36,48.24
11,Statement 3,6,Department of Fertilisers,Other Central Sector Expenditure,3.0,category,-8.72,,-8.72,0.11,0.05,0.16,0.01,0.05,0.06,0.02,0.05,0.07
11,Statement 3,7,Department of Pharmaceuticals,,,ministry_total,2044.81,5.26,2050.07,3158.87,1.19,3160.06,2696.97,0.98,2697.95,4088.69,1.26,4089.95
11,Statement 3,7,Department of Pharmaceuticals,Central Sector Schemes/Projects,1.0,category,1955.32,,1955.32,3120.00,,3120.00,2303.76,,2303.76,4048.50,,4048.50
11,Statement 3,7,Department of Pharmaceuticals,Establishment Expenditure of the Centre,2.0,category,32.99,,32.99,38.87,1.13,40.00,36.77,0.97,37.74,40.18,1.20,41.38
11,Statement 3,7,Department of Pharmaceuticals,Other Central Sector Expenditure,3.0,category,56.50,5.26,61.76,,0.06,0.06,356.44,0.01,356.45,0.01,0.06,0.07
11,Statement 3,8,Ministry of Civil Aviation,,,ministry_total,9234.41,86.44,9320.85,3026.70,86.66,3113.36,2150.35,771.77,2922.12,2257.79,99.35,2357.14
11,Statement 3,8,Ministry of Civil Aviation,Central Sector Schemes/Projects,1.0,category,8333.12,,8333.12,1277.09,,1277.09,883.01,,883.01,559.01,,559.01
11,Statement 3,8,Ministry of Civil Aviation,Establishment Expenditure of the Centre,2.0,category,464.98,86.44,551.42,555.10,86.66,641.76,469.53,171.77,641.30,512.52,41.95,554.47
11,Statement 3,8,Ministry of Civil Aviation,Other Central Sector Expenditure,3.0,category,436.31,,436.31,1194.51,,1194.51,797.81,600.00,1397.81,1186.26,57.40,1243.66
11,Statement 3,9,Ministry of Coal,,,ministry_total,103.46,,103.46,190.77,1.55,192.32,187.49,1.55,189.04,190.35,2.20,192.55
11,Statement 3,9,Ministry of Coal,Central Sector Schemes/Projects,1.0,category,55.58,,55.58,113.50,,113.50,110.50,,110.50,113.50,,113.50
11,Statement 3,9,Ministry of Coal,Establishment Expenditure of the Centre,2.0,category,47.31,,47.31,66.63,1.55,68.18,66.33,1.55,67.88,66.74,2.20,68.94
11,Statement 3,9,Ministry of Coal,Other Central Sector Expenditure,3.0,category,0.57,,0.57,10.64,,10.64,10.66,,10.66,10.11,,10.11
11,Statement 3,10,Department of Commerce,,,ministry_total,6658.93,395.00,7053.93,5216.43,38.15,5254.58,6021.31,28.70,6050.01,4954.84,59.22,5014.06
11,Statement 3,10,Department of Commerce,Central Sector Schemes/Projects,1.0,category,5914.87,388.00,6302.87,4351.46,0.01,4351.47,5244.39,,5244.39,3857.35,,3857.35
11,Statement 3,10,Department of Commerce,Establishment Expenditure of the Centre,2.0,category,734.39,7.00,741.39,801.47,38.14,839.61,739.35,28.70,768.05,1044.92,59.22,1104.14
11,Statement 3,10,Department of Commerce,Other Central Sector Expenditure,3.0,category,9.67,,9.67,63.50,,63.50,37.57,,37.57,52.57,,52.57
11,Statement 3,11,Department for Promotion of Industry and Internal Trade,,,ministry_total,4348.59,1598.28,5946.87,6548.93,1651.70,8200.63,4741.48,1662.31,6403.79,5050.69,1404.39,6455.08
11,Statement 3,11,Department for Promotion of Industry and Internal Trade,Central Sector Schemes/Projects,1.0,category,3690.38,1565.00,5255.38,5741.88,1630.15,7372.03,3966.55,1630.15,5596.70,4219.27,1375.15,5594.42
11,Statement 3,11,Department for Promotion of Industry and Internal Trade,Establishment Expenditure of the Centre,2.0,category,498.43,33.28,531.71,626.80,21.55,648.35,595.39,32.16,627.55,627.26,29.24,656.50
11,Statement 3,11,Department for Promotion of Industry and Internal Trade,Other Central Sector Expenditure,3.0,category,159.78,,159.78,180.25,,180.25,179.54,,179.54,204.16,,204.16
12,Statement 3,12,Department of Posts,,,ministry_total,20538.44,1476.67,22015.11,24417.05,1396.95,25814.00,22808.50,1580.70,24389.20,24115.87,1262.60,25378.47
12,Statement 3,12,Department of Posts,Central Sector Schemes/Projects,1.0,category,257.21,1461.57,1718.78,149.36,1378.95,1528.31,168.44,1550.90,1719.34,176.90,1222.60,1399.50
12,Statement 3,12,Department of Posts,Establishment Expenditure of the Centre,2.0,category,20281.23,15.10,20296.33,24267.69,18.00,24285.69,22640.06,29.80,22669.86,23938.97,40.00,23978.97
12,Statement 3,13,Department of Telecommunications,,,ministry_total,64231.92,54728.62,118960.54,35887.23,61691.82,97579.05,28259.98,70099.43,98359.41,27419.17,84496.26,111915.43
12,Statement 3,13,Department of Telecommunications,Central Sector Schemes/Projects,1.0,category,27178.48,28004.73,55183.21,6391.55,8451.77,14843.32,1622.54,5055.73,6678.27,2989.72,1363.47,4353.19
12,Statement 3,13,Department of Telecommunications,Establishment Expenditure of the Centre,2.0,category,16451.37,150.45,16601.82,21899.86,143.05,22042.91,18205.82,256.53,18462.35,18607.63,48.59,18656.22
12,Statement 3,13,Department of Telecommunications,Other Central Sector Expenditure,3.0,category,20602.07,26573.44,47175.51,7595.82,53097.00,60692.82,8431.62,64787.17,73218.79,5821.82,83084.20,88906.02
12,Statement 3,14,Department of Consumer Affairs,,,ministry_total,183.84,25.64,209.48,222.59,28.07,250.66,258.82,50.44,309.26,10237.29,66.32,10303.61
