page,statement,row_label,actuals_2018_19_revenue,actuals_2018_19_capital,actuals_2018_19_total,be_2019_20_revenue,be_2019_20_capital,be_2019_20_total,re_2019_20_revenue,re_2019_20_capital,re_2019_20_total,be_2020_21_revenue,be_2020_21_capital,be_2020_21_total,fiscal_year,data_source,actuals_2019_20_revenue,actuals_2019_20_capital,actuals_2019_20_total,re_2020_21_revenue,re_2020_21_capital,re_2020_21_total,be_2021_22_revenue,be_2021_22_capital,be_2021_22_total,pdf_page,ministry_department,expenditure_category,category_number,actuals_2020_2021_revenue,actuals_2020_2021_capital,actuals_2020_2021_total,be_2021_2022_revenue,be_2021_2022_capital,be_2021_2022_total,re_2021_2022_revenue,re_2021_2022_capital,re_2021_2022_total,be_2022_2023_revenue,be_2022_2023_capital,be_2022_2023_total,demand_no,actuals_2021_2022_revenue,actuals_2021_2022_capital,actuals_2021_2022_total,re_2022_2023_revenue,re_2022_2023_capital,re_2022_2023_total,be_2023_2024_revenue,be_2023_2024_capital,be_2023_2024_total,row_type,actuals_2022_23_revenue,actuals_2022_23_capital,actuals_2022_23_total,be_2023_24_revenue,be_2023_24_capital,be_2023_24_total,re_2023_24_revenue,re_2023_24_capital,re_2023_24_total,be_2024_25_revenue,be_2024_25_capital,be_2024_25_total
8,Statement 3,"1. Department of Agriculture, Cooperation and Farmers' Welfare",46065.41,10.78,46076.19,130450.51,34.7,130485.21,101870.15,33.85,101904.0,134349.45,50.32,134399.77,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Statement 3,1. Central Sector Schemes/Projects,31379.26,0.0,31379.26,113800.0,0.0,113800.0,89369.92,0.0,89369.92,116490.0,0.0,116490.0,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Statement 3,2.   Centrally Sponsored Schemes,14158.81,9.88,14168.69,16025.85,34.7,16060.55,11963.25,33.85,11997.1,17269.45,50.32,17319.77,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Statement 3,3.   Establishment Expenditure of the Centre,509.14,0.9,510.04,552.34,0.0,552.34,506.51,0.0,506.51,556.07,0.0,556.07,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Statement 3,4.   Other Central Sector Expenditure,18.2,0.0,18.2,72.32,0.0,72.32,30.47,0.0,30.47,33.93,0.0,33.93,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Statement 3,2. Department of Agricultural Research and Education,7544.25,0.0,7544.25,8078.76,0.0,8078.76,7846.17,0.0,7846.17,8362.58,0.0,8362.58,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Statement 3,1. Central Sector Schemes/Projects,2508.72,0.0,2508.72,2699.0,0.0,2699.0,2488.61,0.0,2488.61,2729.0,0.0,2729.0,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Statement 3,2.   Establishment Expenditure of the Centre,12.89,0.0,12.89,14.8,0.0,14.8,13.18,0.0,13.18,13.85,0.0,13.85,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Statement 3,3.   Other Central Sector Expenditure,5022.64,0.0,5022.64,5364.96,0.0,5364.96,5344.38,0.0,5344.38,5619.73,0.0,5619.73,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Statement 3,3. Atomic Energy,8676.77,8741.59,17418.36,8818.95,8106.56,16925.51,9350.9,8074.61,17425.51,8884.44,9344.5,18228.94,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
